name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
Kite,kite,Shuttle,Midline,maneuveringjets,3,900,150,1400,1000,80,25,,140,150,75,45,85,120,OMNI,,150,0.5,0.8,,,2,30,30,15,1,15,9,4000,5,20,180,0.25,2,2,,,,,,,,"base_bp, ind",,,,0.75,2,2,,217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaseSuperKite,pk_basesuperkite,Super Kite,Kite Crafter,maneuveringjets,6,1500,200,1900,,130,35,,160,170,80,50,90,140,OMNI,,150,0.5,0.8,,,5,20,20,14,1,14,9,9000,5,20,240,0.25,4,4,,,,,,,,"ind, pk_KiteCrafter_bp, midline_bp",,,,0.75,2,2,,216
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermillion,pk_vermillion,Super Kite,Kite Crafter,fastmissileracks,6,1500,200,1900,,130,35,,160,170,80,50,90,140,OMNI,,150,0.5,0.8,,,5,20,20,14,1,14,9,9000,5,20,240,0.25,4,4,,,,,,,,"ind, pk_KiteCrafter_bp, midline_bp",,,,0.75,2,2,,216
Gamboge,pk_gamboge,Super Kite,Kite Crafter,ammofeed,6,1500,200,1900,,130,35,,160,170,80,50,90,140,OMNI,,150,0.5,0.8,,,5,20,20,14,1,14,9,9000,5,20,240,0.25,4,4,,,,,,,,"ind, pk_KiteCrafter_bp, midline_bp",,,,0.75,2,2,,216
Cerulean,pk_cerulean,Super Kite,Kite Crafter,highenergyfocus,6,1500,200,1900,,130,35,1,160,170,80,50,90,140,OMNI,,150,0.5,0.8,,,5,20,20,14,1,14,9,9000,5,20,240,0.25,4,4,,,,,,,,"ind, pk_KiteCrafter_bp, midline_bp",,,,0.75,2,2,,216
Indigo,pk_indigo,Super Kite,Kite Crafter,displacer,6,1500,200,1900,,130,35,,160,170,80,50,90,140,PHASE,phasecloak,150,,,0.1,0.05,5,20,20,14,1,14,9,9000,5,20,240,0.25,4,4,,,,,,,,"ind, pk_KiteCrafter_bp, midline_bp",,,,0.75,2,2,,216
Verdant,pk_verdant,Super Kite,Kite Crafter,flarelauncher_active,6,1500,200,1900,,130,35,,160,170,80,50,90,140,FRONT,,360,0.5,0.8,,,5,20,20,14,1,14,9,9000,5,20,240,0.25,4,4,,,,,,,,"ind, pk_KiteCrafter_bp, midline_bp",,,,0.75,2,2,,216
Citrine,pk_citrine,Super Kite,Kite Crafter,targetingfeed,6,1500,200,1900,,130,35,1,160,170,80,50,90,140,OMNI,,150,0.5,0.8,,,5,20,20,14,1,14,9,9000,5,20,240,0.25,4,4,,,,,,,,"ind, pk_KiteCrafter_bp, midline_bp",,,,0.75,2,2,,216
Lavender,pk_lavender,Super Kite,Kite Crafter,temporalshell,6,1500,200,1900,,130,35,,160,170,80,50,90,140,OMNI,,150,0.5,0.8,,,5,20,20,14,1,14,9,9000,5,20,240,0.25,4,4,,,,,,,,"ind, pk_KiteCrafter_bp, midline_bp",,,,0.75,2,2,,216
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini-Kite Triangle,pk_minikitetriangle,,Kite Crafter,flarelauncher_fighter,,650,75,140,,40,0,,250,450,400,100,200,40,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,"ind, pk_KiteCrafter_bp, midline_bp",,,,0,,,,103
Mini-Kite Line,pk_minikiteline,,Kite Crafter,emp,,600,50,160,,60,0,,300,500,450,120,220,40,OMNI,,150,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,"ind, pk_KiteCrafter_bp, midline_bp",,,,0,,,,103
